"","GEOID","total","poverty1","poverty2","poverty.rate"
"1","24003701101",4045,74,85,0.0393077873918418
"2","24003701102",8028,93,534,0.078101644245142
"3","24003701200",8756,15,112,0.0145043398812243
"4","24003701300",7509,299,199,0.0663204155013983
"5","24003701400",3355,0,111,0.0330849478390462
"6","24003702100",6989,253,384,0.0911432250679639
"7","24003702204",4308,50,60,0.0255338904363974
"8","24003702205",5485,27,141,0.0306289881494986
"9","24003702206",6248,135,0,0.021606914212548
"10","24003702208",7177,29,111,0.0195067576982026
"11","24003702209",4539,122,68,0.0418594404053756
"12","24003702300",5577,62,23,0.0152411690873229
"13","24003702402",6395,64,58,0.0190774042220485
"14","24003702500",6571,854,178,0.157053720894841
"15","24003702601",5471,223,84,0.056114055931274
"16","24003702602",5610,77,59,0.0242424242424242
"17","24003702701",5041,155,13,0.0333267208887126
"18","24003702702",3671,60,40,0.0272405339144647
"19","24003706101",3284,185,187,0.113276492082826
"20","24003706301",4237,66,151,0.0512154826528204
"21","24003706302",3167,58,71,0.0407325544679507
"22","24003706401",7204,468,145,0.0850916157690172
"23","24003706402",2842,282,92,0.131597466572836
"24","24003706500",5439,257,108,0.0671079242507814
"25","24003706600",5340,346,139,0.0908239700374532
"26","24003706700",561,9,5,0.0249554367201426
"27","24003707001",6557,265,100,0.0556657007777947
"28","24003707002",4790,86,300,0.0805845511482255
"29","24003708001",3753,153,33,0.0495603517186251
"30","24003708004",5847,353,351,0.120403625791004
"31","24003730100",8965,116,140,0.0285554935861684
"32","24003730203",6110,346,339,0.112111292962357
"33","24003730204",6099,262,203,0.0762420068863748
"34","24003730300",3274,193,69,0.080024434941967
"35","24003730401",5059,213,285,0.0984384265665151
"36","24003730402",6457,289,639,0.143719993805173
"37","24003730502",5446,81,431,0.0940139551964745
"38","24003730504",7517,77,447,0.0697086603698284
"39","24003730505",4866,120,102,0.0456226880394575
"40","24003730506",3927,239,170,0.104150751209575
"41","24003730601",7203,73,0,0.0101346661113425
"42","24003730603",2898,5,132,0.0472739820565908
"43","24003730604",6586,30,138,0.0255086547221379
"44","24003730700",7404,60,207,0.0360615883306321
"45","24003730800",2476,35,59,0.0379644588045234
"46","24003730901",2486,5,7,0.00482703137570394
"47","24003730902",4059,67,9,0.0187238236018724
"48","24003731002",3390,113,128,0.0710914454277286
"49","24003731003",4193,23,15,0.0090627235869306
"50","24003731004",4449,75,117,0.043155765340526
"51","24003731102",7650,126,92,0.0284967320261438
"52","24003731103",4985,270,222,0.0986960882647944
"53","24003731104",4325,28,39,0.0154913294797688
"54","24003731105",3434,32,149,0.0527082119976704
"55","24003731201",6431,106,77,0.0284559166537086
"56","24003731202",7263,128,75,0.0279498829684703
"57","24003731203",7173,121,81,0.0281611599052001
"58","24003731204",6123,32,279,0.0507920953780826
"59","24003731303",6617,20,42,0.00936980504760465
"60","24003731306",6183,92,104,0.0316998220928352
"61","24003731307",6787,230,44,0.0403712980698394
"62","24003731308",3595,147,28,0.0486787204450626
"63","24003731309",6124,202,227,0.0700522534291313
"64","24003731310",5099,79,76,0.0303981172778976
"65","24003731311",8461,232,131,0.0429027301737383
"66","24003740102",8704,280,248,0.0606617647058824
"67","24003740103",8252,167,458,0.0757392147358216
"68","24003740104",8117,301,445,0.0919058765553776
"69","24003740105",4168,203,371,0.137715930902111
"70","24003740201",7311,245,47,0.0399398167145397
"71","24003740203",5742,93,200,0.0510275165447579
"72","24003740303",4321,100,196,0.0685026614209674
"73","24003740304",4194,236,11,0.058893657606104
"74","24003740305",11579,411,310,0.0622678987822783
"75","24003740400",0,0,0,NA
"76","24003740500",9968,167,0,0.0167536115569823
"77","24003740601",4335,37,73,0.0253748558246828
"78","24003740602",3998,187,269,0.114057028514257
"79","24003740603",801,5,0,0.00624219725343321
"80","24003740701",5226,269,124,0.0752009184845006
"81","24003740702",10175,207,196,0.0396068796068796
"82","24003740800",4393,79,87,0.0377873890279991
"83","24003740900",7578,63,229,0.0385325943520718
"84","24003741000",2223,13,0,0.00584795321637427
"85","24003750101",4216,252,778,0.244307400379507
"86","24003750102",2630,339,118,0.173764258555133
"87","24003750201",2737,300,145,0.162586773839971
"88","24003750202",3032,167,78,0.0808047493403694
"89","24003750203",1357,31,27,0.0427413411938099
"90","24003750300",2801,66,160,0.0806854694751874
"91","24003750400",4010,66,36,0.0254364089775561
"92","24003750801",6166,96,66,0.0262731106065521
"93","24003750803",8295,627,428,0.127185051235684
"94","24003750804",3907,87,184,0.0693626823649859
"95","24003750900",2770,102,141,0.0877256317689531
"96","24003751000",3778,125,166,0.0770248808893595
"97","24003751102",3441,145,196,0.0990990990990991
"98","24003751103",5495,301,186,0.0886260236578708
"99","24003751200",4231,194,140,0.0789411486646183
"100","24003751400",3916,151,74,0.0574565883554648
"101","24003751500",6903,103,245,0.050412863972186
"102","24003751600",4915,145,84,0.0465920651068159
"103","24003751700",2704,19,46,0.0240384615384615
"104","24003980000",13,0,0,0
"105","24003990000",0,0,0,NA
"106","24021740200",4655,123,212,0.0719656283566058
"107","24021750100",1357,47,68,0.0847457627118644
"108","24021750200",1693,95,69,0.0968694624926167
"109","24021750300",1520,213,260,0.311184210526316
"110","24021750503",6646,588,93,0.102467649714114
"111","24021750504",5960,715,242,0.160570469798658
"112","24021750505",7027,740,789,0.217589298420379
"113","24021750506",3976,112,86,0.0497987927565392
"114","24021750600",2022,37,76,0.0558852621167161
"115","24021750701",5192,81,69,0.0288906009244992
"116","24021750702",3731,170,372,0.14526936478156
"117","24021750801",2999,241,241,0.160720240080027
"118","24021750802",4210,98,21,0.0282660332541568
"119","24021750803",6033,160,184,0.0570197248466766
"120","24021751001",1093,63,0,0.0576395242451967
"121","24021751002",4907,34,365,0.0813124108416548
"122","24021751003",5158,489,216,0.136680884063591
"123","24021751004",3753,97,77,0.0463629096722622
"124","24021751201",4834,83,91,0.0359950351675631
"125","24021751202",6010,67,288,0.0590682196339434
"126","24021751203",1935,5,69,0.0382428940568475
"127","24021751301",2905,30,145,0.0602409638554217
"128","24021751302",2970,101,71,0.0579124579124579
"129","24021751600",2918,81,74,0.0531185743660041
"130","24021751701",2380,34,32,0.0277310924369748
"131","24021751702",3991,218,214,0.108243547982962
"132","24021751801",4444,178,65,0.0546804680468047
"133","24021751802",3996,68,11,0.0197697697697698
"134","24021751901",4706,61,45,0.0225244368890778
"135","24021751902",5867,73,361,0.0739730697119482
"136","24021751903",6220,0,0,0
"137","24021751904",3406,53,105,0.0463887257780388
"138","24021752001",4919,25,45,0.0142305346615166
"139","24021752101",3292,10,0,0.00303766707168894
"140","24021752102",4213,53,0,0.0125801091858533
"141","24021752201",2184,22,42,0.0293040293040293
"142","24021752202",4202,14,0,0.00333174678724417
"143","24021752204",7036,156,125,0.039937464468448
"144","24021752301",4839,117,363,0.0991940483570986
"145","24021752302",4156,13,115,0.0307988450433109
"146","24021752303",3259,38,34,0.0220926664621049
"147","24021752501",4817,134,35,0.0350840772264895
"148","24021752502",2572,37,23,0.0233281493001555
"149","24021752601",3998,45,0,0.011255627813907
"150","24021752602",2695,29,23,0.0192949907235622
"151","24021752603",3883,28,14,0.0108163790883338
"152","24021752801",2161,25,68,0.043035631652013
"153","24021752802",3485,78,91,0.048493543758967
"154","24021752900",3072,121,178,0.0973307291666667
"155","24021753001",5029,179,125,0.0604493935175979
"156","24021753002",2931,102,158,0.0887069259638349
"157","24021765100",3748,112,442,0.147812166488794
"158","24021766800",4130,224,354,0.139951573849879
"159","24021767500",2753,10,72,0.0297856883399927
"160","24021767600",3592,147,114,0.0726614699331849
"161","24021770700",3560,156,138,0.0825842696629213
"162","24021772200",1600,207,201,0.255
"163","24021773500",4344,115,69,0.0423572744014733
"164","24021775302",4293,116,231,0.0808292569298859
