"","club.name","field.name","field.address"
"1","A3","Bell Branch Athletic Complex Field A","2400 Davidsonville Rd, Gambrills, MD 21054"
"2","A3","Bell Branch Athletic Complex Field B","2400 Davidsonville Rd, Gambrills, MD 21054"
"3","A3","Bell Branch Athletic Complex Field D2","2400 Davidsonville Rd, Gambrills, MD 21054"
"4","A3","Bell Branch Athletic Complex Field D3","2400 Davidsonville Rd, Gambrills, MD 21054"
"5","A3","Bell Branch Athletic Complex Field D4","2400 Davidsonville Rd, Gambrills, MD 21054"
"6","A3","Bell Branch Athletic Complex Field D6","2400 Davidsonville Rd, Gambrills, MD 21054"
"7","Alexandria Soccer Association","Brenman Park #1A","4800 Brenman Park Drive, Alexandria, VA 22301"
"8","Alexandria Soccer Association","Brenman Park - Soccer 1","4800 Brenman Park Drive, Alexandria, VA 22301"
"9","Alexandria Soccer Association","Greenbrier Pk Upper (Yorktown HS Stad.)","2700 Greenbrier Street, Arlington, VA 22207"
"10","Alexandria Soccer Association","Limerick 1","400 Hoofs Run Drive, Alexandria, VA 22314"
"11","Alexandria Soccer Association","Simpson Soccer Field 2A","426 East Monroe Ave, Alexandria, VA 22301"
"12","Alexandria Soccer Association","Simpson Soccer Field 2B","426 East Monroe Ave, Alexandria, VA 22301"
"13","Alexandria Soccer Association","Witter Fields Complex #1","2600 Witter Street, Alexandria, VA 22314"
"14","Alexandria Soccer Association","Witter Fields Complex #1a","2600 Witter Street, Alexandria, VA 22314"
"15","Alexandria Soccer Association","Witter Fields Complex #1b","2600 Witter Street, Alexandria, VA 22314"
"16","Alexandria Soccer Association","Witter Fields Complex #2","2600 Witter Street, Alexandria, VA 22314"
"17","Alexandria Soccer Association","Witter Fields Complex #2a","2600 Witter Street, Alexandria, VA 22314"
"18","Alliance Soccer Club","Ballenger Creek Park Chuck Foreman Field","5420 Ballenger Creek Pike, Frederick, MD 21703"
"19","Alliance Soccer Club","New Market Park Lower Small Sided","5760 Royal Oaks Drive, New Market, MD"
"20","Alliance Soccer Club","Oakdale HS Turf Field","5850 Eagle Head Drive, Ijamsville, MD 21754"
"21","Alliance Soccer Club","Old National Pike Park 4","12406 Old National Pike, Mt. Airy, MD 21771"
"22","Annandale Boys & Girls Club","Annandale HS Stadium","4700 Medford Dr, Annandale, VA 22003"
"23","Annandale Boys & Girls Club","Annandale HS Track turf field","4700 Medford Dr, Annandale, VA 22003"
"24","Annandale Boys & Girls Club","Mason District Park #3 Front Turf","6621 Columbia Pike, Annandale, VA 22003"
"25","Annandale Boys & Girls Club","Ossian Hall Park RF #01 (turf)","7900 Heritage Drive, Annandale, VA 22003"
"26","Annandale Boys & Girls Club","Stuart HS Stadium","3301 Peace Valley Ln, Falls Church, VA 22044"
"27","Antietam United Soccer Club","Fountain Rock Elementary Field #1","17145 Lappans Road, Hagerstown, MD 21740"
"28","Antietam United Soccer Club","St. James School Grass Field #1","17641 College Road, Hagerstown, MD 21740"
"29","Antietam United Soccer Club","St. James School Turf Field","17641 College Road, Hagerstown, MD 21740"
"30","Arlington Soccer Association","Benjamin Banneker Park","6501 N. 16th Street, Arlington, VA 22205"
"31","Arlington Soccer Association","Fields Park","850 N. George Mason Drive, Arlington, VA 22207"
"32","Arlington Soccer Association","Greenbrier Pk Upper (Yorktown HS Stad.)","2700 Greenbrier Street, Arlington, VA 22207"
"33","Arlington Soccer Association","Gunston Middle School #1","2700 S Lang St, Arlington, VA 22206"
