"","club.name","field.name","field.address","lat","lng"
"1","A3","Bell Branch Athletic Complex Field A","2400 Davidsonville Rd, Gambrills, MD 21054",38.985429,-76.669142
"2","A3","Bell Branch Athletic Complex Field B","2400 Davidsonville Rd, Gambrills, MD 21054",38.985429,-76.669142
"3","A3","Bell Branch Athletic Complex Field D2","2400 Davidsonville Rd, Gambrills, MD 21054",38.985429,-76.669142
"4","A3","Bell Branch Athletic Complex Field D3","2400 Davidsonville Rd, Gambrills, MD 21054",38.985429,-76.669142
"5","A3","Bell Branch Athletic Complex Field D4","2400 Davidsonville Rd, Gambrills, MD 21054",38.985429,-76.669142
"6","A3","Bell Branch Athletic Complex Field D6","2400 Davidsonville Rd, Gambrills, MD 21054",38.985429,-76.669142
"7","Alexandria Soccer Association","Brenman Park #1A","4800 Brenman Park Drive, Alexandria, VA 22301",38.810055,-77.067563
"8","Alexandria Soccer Association","Brenman Park - Soccer 1","4800 Brenman Park Drive, Alexandria, VA 22301",38.810055,-77.067563
"9","Alexandria Soccer Association","Greenbrier Pk Upper (Yorktown HS Stad.)","2700 Greenbrier Street, Arlington, VA 22207",38.900236,-77.139393
"10","Alexandria Soccer Association","Limerick 1","400 Hoofs Run Drive, Alexandria, VA 22314",38.798206,-77.063018
"11","Alexandria Soccer Association","Simpson Soccer Field 2A","426 East Monroe Ave, Alexandria, VA 22301",38.820902,-77.054985
"12","Alexandria Soccer Association","Simpson Soccer Field 2B","426 East Monroe Ave, Alexandria, VA 22301",38.820902,-77.054985
"13","Alexandria Soccer Association","Witter Fields Complex #1","2600 Witter Street, Alexandria, VA 22314",38.813125,-77.039281
"14","Alexandria Soccer Association","Witter Fields Complex #1a","2600 Witter Street, Alexandria, VA 22314",38.813125,-77.039281
"15","Alexandria Soccer Association","Witter Fields Complex #1b","2600 Witter Street, Alexandria, VA 22314",38.813125,-77.039281
"16","Alexandria Soccer Association","Witter Fields Complex #2","2600 Witter Street, Alexandria, VA 22314",38.813125,-77.039281
"17","Alexandria Soccer Association","Witter Fields Complex #2a","2600 Witter Street, Alexandria, VA 22314",38.813125,-77.039281
"18","Alliance Soccer Club","Ballenger Creek Park Chuck Foreman Field","5420 Ballenger Creek Pike, Frederick, MD 21703",39.382755,-77.443337
"19","Alliance Soccer Club","New Market Park Lower Small Sided","5760 Royal Oaks Drive, New Market, MD",38.498038,-76.819177
"20","Alliance Soccer Club","Oakdale HS Turf Field","5850 Eagle Head Drive, Ijamsville, MD 21754",39.334227,-77.336544
"21","Alliance Soccer Club","Old National Pike Park 4","12406 Old National Pike, Mt. Airy, MD 21771",39.412596,-77.174775
"22","Annandale Boys & Girls Club","Annandale HS Stadium","4700 Medford Dr, Annandale, VA 22003",38.823027,-77.207489
"23","Annandale Boys & Girls Club","Annandale HS Track turf field","4700 Medford Dr, Annandale, VA 22003",38.823027,-77.207489
"24","Annandale Boys & Girls Club","Mason District Park #3 Front Turf","6621 Columbia Pike, Annandale, VA 22003",38.836914,-77.172502
"25","Annandale Boys & Girls Club","Ossian Hall Park RF #01 (turf)","7900 Heritage Drive, Annandale, VA 22003",38.832428,-77.210893
"26","Annandale Boys & Girls Club","Stuart HS Stadium","3301 Peace Valley Ln, Falls Church, VA 22044",38.857475,-77.151259
"27","Antietam United Soccer Club","Fountain Rock Elementary Field #1","17145 Lappans Road, Hagerstown, MD 21740",39.571799,-77.772927
"28","Antietam United Soccer Club","St. James School Grass Field #1","17641 College Road, Hagerstown, MD 21740",39.576669,-77.758343
"29","Antietam United Soccer Club","St. James School Turf Field","17641 College Road, Hagerstown, MD 21740",39.576669,-77.758343
"30","Arlington Soccer Association","Benjamin Banneker Park","6501 N. 16th Street, Arlington, VA 22205",38.881611,-77.15536
"31","Arlington Soccer Association","Fields Park","850 N. George Mason Drive, Arlington, VA 22207",38.887699,-77.128058
"32","Arlington Soccer Association","Greenbrier Pk Upper (Yorktown HS Stad.)","2700 Greenbrier Street, Arlington, VA 22207",38.900236,-77.139393
"33","Arlington Soccer Association","Gunston Middle School #1","2700 S Lang St, Arlington, VA 22206",38.848245,-77.067261
"34","Arlington Soccer Association","Kenmore MS Kenmore II","200 S Carlin Springs Road, Arlington, VA 22204",38.864486,-77.128729
"35","Arlington Soccer Association","Long Bridge Park #4","475 S. Old Jefferson Davis Highway, Arlington, VA 22207",38.895635,-77.140467
"36","Arlington Soccer Association","Long Bridge Park #4A","475 S. Old Jefferson Davis Highway, Arlington, VA 22207",38.895635,-77.140467
"37","Arlington Soccer Association","Long Bridge Park 3","475 S. Old Jefferson Davis Highway, Arlington, VA 22207",38.895635,-77.140467
"38","Arlington Soccer Association","Quincy Street","1019 N Quincy St, Arlington, VA 22201",38.883395,-77.10778
"39","Arlington Soccer Association","Virginia Highlands #2 (9v9)","1600 S. Hayes St, Arlington, VA 22202",38.858846,-77.059418
"40","Arlington Soccer Association","Washington-Lee HS Stadium","1301 N. Stafford Street, Arlington, VA 22201",38.887388,-77.111131
"41","Arlington Soccer Association","Williamsburg MS #1","3600 N Harrison St, Arlington, VA 22207",38.907654,-77.145992
"42","Arlington Soccer Association","Williamsburg MS 1A","3600 N Harrison St, Arlington, VA 22207",38.907654,-77.145992
"43","Arlington Soccer Association","Williamsburg MS 1B","3600 N Harrison St, Arlington, VA 22207",38.907654,-77.145992
"44","Arlington Soccer Association","Williamsburg MS 2A","3600 N Harrison St, Arlington, VA 22207",38.907654,-77.145992
"45","Arundel Soccer Association","Arundel HS Front Bermuda #2","1001 Annapolis Road, Gambrills, MD 21054",39.074306,-76.680313
"46","Arundel Soccer Association","Arundel HS Front Bermuda Field","1001 Annapolis Road, Gambrills, MD 21054",39.074306,-76.680313
"47","Arundel Soccer Association","Crownsville Hospital #3","105 Circle Dr, Crownsville, MD 21032",39.024795,-76.603485
"48","Arundel Soccer Association","Meade HS Field C","1100 Clark Road, Fort George G Meade, MD 20755",39.120626,-76.737258
"49","Arundel Soccer Association","Old Mill HS Turf Field","600 Patriot Ln, Millersville, MD 21108",39.117896,-76.626875
"50","Bethesda Soccer Club","Maryland SoccerPlex #14","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"51","Bethesda Soccer Club","Maryland SoccerPlex #15","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"52","Bethesda Soccer Club","Maryland SoccerPlex #16","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"53","Bethesda Soccer Club","Maryland SoccerPlex #22","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"54","Bethesda Soccer Club","Maryland SoccerPlex #3","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"55","Bethesda Soccer Club","Maryland SoccerPlex #4","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"56","Bethesda Soccer Club","Maryland SoccerPlex #7","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"57","Bethesda Soccer Club","Maryland SoccerPlex #9","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"58","Bethesda Soccer Club","Muldoons Farm #1","18911 Beallsville Road, Poolesville, MD 20837",39.166956,-77.41745
"59","Bethesda Soccer Club","Muldoons Farm #2","18911 Beallsville Road, Poolesville, MD 20837",39.166956,-77.41745
"60","Bethesda Soccer Club","Wootton High School #1 Turf","2100 Wootton Pkwy, Rockville, MD 20850",39.074981,-77.18222
"61","Braddock Road Youth Club","Robinson HS - Upper Turf Full","5035 Sideburn Rd, Fairfax, VA 22032",38.818277,-77.308684
"62","Braddock Road Youth Club","Robinson HS - Upper Turf SS1","5035 Sideburn Rd, Fairfax, VA 22032",38.818277,-77.308684
"63","Braddock Road Youth Club","Robinson HS Stadium","5035 Sideburn Rd, Fairfax, VA 22032",38.818277,-77.308684
"64","Braddock Road Youth Club","WT Woodson HS Stadium Turf","9525 Main St, Fairfax, VA 22032",38.841193,-77.273008
"65","Braddock Road Youth Club","WT Woodson HS West Turf - Full","9525 Main St, Fairfax, VA 22032",38.841193,-77.273008
"66","Braddock Road Youth Club","WT Woodson HS West Turf - SS1","9525 Main St, Fairfax, VA 22032",38.841193,-77.273008
