"","GEOID","club.name","field.name","field.address","lat","lon","nonwhite.perc","poverty.rate"
"1","11001000202","D.C. Stoddert","Jelleff Recreation Center SS #1","3265 S Street, NW, Washington, DC 20007-2945",38.906889,-77.065466,0.152584596221715,0.225467589034076
"2","11001000600","D.C. Stoddert","Sidwell Friends Turf","3825 Wisconsin Ave NW, Washington, DC 20016",38.939047,-77.07457,0.190173655230834,0.0889284126278346
"3","11001000902","D.C. Stoddert","Palisades","5200 Sherier Place NW, Washington, DC 20016",38.925695,-77.103723,0.106720977596741,0.0171079429735234
"4","11001001600","D.C. Stoddert","Shepherd ES","7800 14th St NW, Washington, DC 20012-1490",38.984145,-77.033412,0.733173652694611,0.038572806171649
"5","11001001702","Washington Soccer Club","Takoma Rec Center Field #3","300 Van Buren St NW, Washington, DC 20012",38.969923,-77.016165,0.589685371391502,0.0895375532961627
"6","11001006900","CapitalFC","Watkins Elementary School - DC #1","420 12th Street Southeast, Washington, DC 20003",38.883552,-76.99032,0.292526364053187,0.0389729481889042
"7","11001009505","D.C. Stoddert","Riggs LaSalle Community Center Field #1","501 Riggs Rd, NE, Washington, DC 20011",38.960193,-77.000112,0.943724546464273,0.0967982129560685
"8","11001010500","CapitalFC","Randall Recreation Center #1 Full","25 I Street SW, Washington, DC 20024",38.879211,-77.009787,0.562317144528964,0.121708601521358
"9","24003701300","Davidsonville Athletic Association SC","Davidsonville Park Field B","3042 Patuxent River Road, Davidsonville, MD 21035",38.943094,-76.678714,0.127631404739838,0.0663204155013983
"10","24003701300","Davidsonville Athletic Association SC","Davidsonville Park Field F","3042 Patuxent River Road, Davidsonville, MD 21035",38.943094,-76.678714,0.127631404739838,0.0663204155013983
"11","24003702300","A3","Bell Branch Athletic Complex Field B","2400 Davidsonville Rd, Gambrills, MD 21054",38.985429,-76.669142,0.0469786623632777,0.0152411690873229
"12","24003702300","A3","Bell Branch Athletic Complex Field D2","2400 Davidsonville Rd, Gambrills, MD 21054",38.985429,-76.669142,0.0469786623632777,0.0152411690873229
"13","24003702300","A3","Bell Branch Athletic Complex Field D3","2400 Davidsonville Rd, Gambrills, MD 21054",38.985429,-76.669142,0.0469786623632777,0.0152411690873229
"14","24003702300","A3","Bell Branch Athletic Complex Field D6","2400 Davidsonville Rd, Gambrills, MD 21054",38.985429,-76.669142,0.0469786623632777,0.0152411690873229
"15","24003702300","A3","Bell Branch Athletic Complex Field A","2400 Davidsonville Rd, Gambrills, MD 21054",38.985429,-76.669142,0.0469786623632777,0.0152411690873229
"16","24003702300","A3","Bell Branch Athletic Complex Field D4","2400 Davidsonville Rd, Gambrills, MD 21054",38.985429,-76.669142,0.0469786623632777,0.0152411690873229
"17","24003702402","Maryland Rush","Bates Heritage Turf","121 S. Villa Ave., Annapolis, MD 21401",38.99955,-76.562657,0.158962623951182,0.0190774042220485
"18","24003706500","Maryland Rush","Weems-Whalen Field at Bates Athletic Complex","935 Spa Rd, Annapolis, MD 21401",38.973627,-76.509308,0.281301709873138,0.0671079242507814
"19","24003730504","Arundel Soccer Association","Old Mill HS Turf Field","600 Patriot Ln, Millersville, MD 21108",39.117896,-76.626875,0.457895437009445,0.0697086603698284
"20","24003730603","Severna Park Athletic Association","Kinder Park Lower Kinder 1","1 Gali Sanchez Way, Millersville, MD 21108",39.096409,-76.586173,0.131687242798354,0.0472739820565908
"21","24003730603","Severna Park Athletic Association","Kinder Park Upper Kinder A/B Full Sided","1 Gali Sanchez Way, Millersville, MD 21108",39.096409,-76.586173,0.131687242798354,0.0472739820565908
"22","24003730603","Severna Park Athletic Association","Kinder Park Upper Kinder A","1 Gali Sanchez Way, Millersville, MD 21108",39.096409,-76.586173,0.131687242798354,0.0472739820565908
"23","24003730603","Severna Park Athletic Association","Kinder Park Kinder Middle","1 Gali Sanchez Way, Millersville, MD 21108",39.096409,-76.586173,0.131687242798354,0.0472739820565908
"24","24003731002","Broadneck SC","Broadneck Park A-Upper field","699 College Parkway, Annapolis, MD 21409",39.02713,-76.44487,0.135398230088496,0.0710914454277286
"25","24003731002","Broadneck SC","Broadneck Park B-Lower Field","699 College Parkway, Annapolis, MD 21409",39.02713,-76.44487,0.135398230088496,0.0710914454277286
"26","24003731202","Pasadena Soccer Club","Lake Shore Athletic Complex A","850 Woods Road, Pasadena, MD 21122",39.109913,-76.508713,0.0199642021203359,0.0279498829684703
"27","24003731202","Pasadena Soccer Club","Lake Shore Athletic Complex B","850 Woods Road, Pasadena, MD 21122",39.109913,-76.508713,0.0199642021203359,0.0279498829684703
"28","24003731202","Pasadena Soccer Club","Lake Shore Athletic Complex C","850 Woods Road, Pasadena, MD 21122",39.109913,-76.508713,0.0199642021203359,0.0279498829684703
"29","24003731202","Pasadena Soccer Club","Lake Shore Athletic Complex D","850 Woods Road, Pasadena, MD 21122",39.109913,-76.508713,0.0199642021203359,0.0279498829684703
"30","24003731204","Pasadena Soccer Club","Jacobsville Recreation Area","64 Magothy Beach Rd, Pasadena, MD 21122",39.116636,-76.519217,0.111021850899743,0.0507920953780826
"31","24003731307","Pasadena Soccer Club","Tick Neck Park #1","7750 Edwin Raynor Blvd, Pasadena, MD 21122",39.136181,-76.528514,0.107780052646973,0.0403712980698394
"32","24003731307","Pasadena Soccer Club","Tick Neck Park #2","7750 Edwin Raynor Blvd, Pasadena, MD 21122",39.136181,-76.528514,0.107780052646973,0.0403712980698394
"33","24003731307","Pasadena Soccer Club","Tick Neck Park #3","7750 Edwin Raynor Blvd, Pasadena, MD 21122",39.136181,-76.528514,0.107780052646973,0.0403712980698394
"34","24003731308","Pasadena Soccer Club","Riviera Beach Community Park","131 Meadow Rd, Pasadena, MD 21122",39.16166,-76.517501,0.0656467315716273,0.0486787204450626
"35","24003731308","Pasadena Soccer Club","Muth Field","8513 St Jane Dr, Pasadena, MD 21122",39.161923,-76.511691,0.0656467315716273,0.0486787204450626
"36","24003731309","Pasadena Soccer Club","Rock Creek Park","79 Bar Harbor Rd, Pasadena, MD 21122",39.156081,-76.512388,0.109826589595376,0.0700522534291313
"37","24003740303","Maryland United FC","Annapolis Area Christian Upper","109 Burns Crossing Road Severn, MD 21144",39.104993,-76.685363,0.245670745786193,0.0685026614209674
"38","24003740602","Arundel Soccer Association","Meade HS Field C","1100 Clark Road, Fort George G Meade, MD 20755",39.120626,-76.737258,0.377188594297149,0.114057028514257
"39","24003740900","Arundel Soccer Association","Arundel HS Front Bermuda #2","1001 Annapolis Road, Gambrills, MD 21054",39.074306,-76.680313,0.298231723409871,0.0385325943520718
"40","24003740900","Arundel Soccer Association","Arundel HS Front Bermuda Field","1001 Annapolis Road, Gambrills, MD 21054",39.074306,-76.680313,0.298231723409871,0.0385325943520718
"41","24003751600","Arundel Soccer Association","Crownsville Hospital #3","105 Circle Dr, Crownsville, MD 21032",39.024795,-76.603485,0.0793055829552179,0.0465920651068159
"42","24003751600","Maryland United FC","Indian Creek School","1130 Anne Chambers Way, Crownsville, MD 21032",39.01368,-76.591273,0.0793055829552179,0.0465920651068159
"43","24009860101","Calvert Soccer Association","Dunkirk District Park #7","10750 Southern Maryland Blvd (MD Rt. 4), Dunkirk, MD 20754",38.722636,-76.660678,0.17619926199262,0.0565687789799073
